id,title,price,currency_id,Marca,Diámetro,Funciones,Altura,Condición del ítem,Idiomas,Modelo,Sistemas operativos compatibles,Potencia,Tipos de alimentación,Frecuencia,Radiofrecuencia,Asistentes virtuales,Voltaje,Peso,Estándares inalámbricos,Con Bluetooth,Con cámara,Con sistema de audio multi-room,Con pantalla táctil,Con conexión Wi-Fi
MLA925602267,Google Home Mini Con Asistente Virtual Google Assistant Charcoal 110v/220v,6397.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA912827642,Google Nest Mini 2nd Gen Con Asistente Virtual Google Assistant Chalk 110v/220v,8350.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Chromecast,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Neerlandés,Portugués,Francés,Danés,Hindi,Indonesio,Italiano,Japonés,Noruego,Español España,Sueco,Mandarín,Tailandés,Coreano",Nest Mini 2nd Gen,"Android 6.0,iOS 12.0",15 W,Corriente eléctrica,,"2.4 GHz,5 GHz",Google Assistant,110V/220V,181 g,IEEE 802.11a/b/g/n/ac,Sí,,,No,Sí
MLA913417513,Google Home Mini Con Asistente Virtual Google Assistant Chalk 110v/220v,6999.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA842879853,Google Home Mini Asistete De Voz Y Parlante Bulk S/ Caja,3999.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Español,Inglés",Home Mini,"Android 6.0,iOS 12.0",9 W,"220v,Corriente directa",50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA842217261,Google Home Mini Asistete De Voz Y Parlante Modalidad Bulk,3999.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Español,Inglés",Home Mini,"Android 6.0,iOS 12.0",9 W,220v,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA880459351,Google Home Mini Asistente Virtual Youtube Spotify Sin Caja,4749.05,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,Español/Inglés,Home Mini,"Android 5.0,iOS 9.1",30 W,220v,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,120V/240V,173 g,IEEE 802.11b/g/n/ac,Sí,,Sí,,Sí
MLA758202866,Google Home Mini Asistente Virtual Spotify Netflix Youtube ,6298.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,Inglés/Español,Home Mini,"Android 6.0,iOS 12.0",9 W,5V A 1.8A,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA842213533,Parlante Google Home Mini C/ Asistente Voz Bulk Sin Caja,3999.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,Español,Home Mini,"Android 6.0,iOS 12.0",9 W,220v,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA925525217,Parlante Google Home Mini Asistente De Voz - Bulk Sin Caja ,3999.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",3 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
MLA869755331,Google Home Mini Sin Caja Asistente Virtual Voz Parlante ,3998.0,ARS,Google,98 mm,"Reproducción de música,Control por voz,Llamadas,Desactivar micrófono",42 mm,Nuevo,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco",Home Mini,"Android 6.0,iOS 12.0",9 W,Corriente eléctrica,50 Hz - 60 Hz,"2.4 GHz,5 GHz",Google Assistant,110V/220V,173 g,IEEE 802.11b/g/n/ac,Sí,No,Sí,No,Sí
